Región,Comuna,Latitude,Longitude,Razón social,Nombre de Establecimiento,Rubro,ID Establecimiento,Generación Residuos Peligrosos ton/año (2016),Emisión al aire año ton/año (2016),Emisión CO2 ton/año (2016),Emisión NOX ton/año (2016),Emisión SO2 ton/año (2016),"Emisión MP2,5 ton/año (2016)",Emisión MP 10 ton/año (2016),Generación de residuos no peligrosos ton/año 2016,Destinatario de residuos no peligrosos ton/año (2016)
Araucanía,Temuco,-38.71933999,-72.56755743,ADMINISTRADORA DE ESTACIONES DE SERVICIOS SERCO LTDA,RUDECINDO ORTEGA,Combustibles,5467067,6.65,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71904628,-72.64828063,TELEVISION NACIONAL DE CHILE,RED ARAUCANÍA,0,5472534,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.7189196,-72.56727266,OPERACIONES Y SERVICIOS TERPEL LIMITADA,F 475 NAHUELBUTA,Combustibles,59523,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71866454,-72.56670628,VCM COMERCIAL LIMITADA,F 475 NAHUELBUTA,Comercio,5465073,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71833154,-72.55679248,MALTEXCO S A,MALTEXCO TEMUCO,Producción de alimentos,4587680,0.415,200363.0653,200363.0653,0,0,0,0,-,-
Araucanía,Temuco,-38.71784626,-72.65357583,INMOBILIARIA Y CONSTRUCTORA NUEVA PROVIDENCIA LIMITADA,ALTO LOMAS DEL CARMEN,0,5473036,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71777111,-72.6094155,AGUAS ARAUCANIA S.A.,PLANTA ELEVADORA DE AGUAS SERVIDAS - CHIVILCAN - TEMUCO,Gestor de residuos,5401901,-,0,0,0,0,0,0,-,-
Araucanía,Temuco,-38.71739348,-72.62491945,SUPER 10 S.A.,M10 TEMUCO II,Comercio,2166478,-,189.7140096,189.7140096,0,0,0,0,33.101,-
Araucanía,Temuco,-38.71700386,-72.56570458,CONSTRUCTORA SOCOVESA SUR S.A.,C_SUR_2033 JARDIN PRADO III,Construcción e inmobiliarias,5467916,0.358,-,-,-,-,-,-,924,-
Araucanía,Temuco,-38.71599745,-72.55676849,SOCIEDAD COMERCIAL PAN DEL SUR LIMITADA,SOCIEDAD COMERCIAL PAN SUR LIMITADA,0,5473970,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71579027,-72.56367571,ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA,EXPRESS DE LIDER,Comercio,245531,-,1818.335261,1818.335261,0,0,0,0,258.249,-
Araucanía,Temuco,-38.71538188,-72.65244891,CENCOSUD RETAIL S.A.,SISA N597,Comercio,2276526,-,2374.7952,2374.7952,0,0,0,0,4175.29,-
Araucanía,Temuco,-38.71528301,-72.63014147,SOCIEDAD CONSTRUCTORA MALLIN LIMITADA,SOCIEDAD CONSTRUCTORA MALLIN LIMITADA,Construcción e inmobiliarias,5465894,1,-,-,-,-,-,-,-,-
